Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Kiambu kitchen,St. Augustine Gatono Primary,Kiambu Regions,February,Primary,,2026-02-02,,180,180.0,166.0,,2,3.0,8.0,1,1.0,0.0,0.0,,180.0,2.0,3.0,50,2026-02-02 12:30:35,2026-02-02 13:20:45,Expecting higher turn out tomorrow,Rice and Western,Queue was well managed,Failed taps remained 8 since some parents had not topped up,Successful taps increased from 157 to 166 as parents topped up on time,@Anne Njoroge -SC St.?Augustine
Kiambu kitchen,Ting'Ang'A Secondary,Kiambu Regions,February,Secondary,White,2026-02-02,Rice and Western,115,114.0,107.0,7.0,0,4.0,11.0,0,0.0,0.0,0.0,0.0,120.0,0.0,4.0,30,2026-02-02 13:20:33,2026-02-02 13:50:41,Hopping there will be increase in turn outs,The food was hot and delicious,Queue was neat and manageable,Today's failed taps were 11 which  increased from Fridays failed taps due to insufficient fund,Today's Successful taps were 107 which decreased from Fridays successful taps reason was lower turn out,@Brenda Kamau Tapper Ting'ang'a Secondary school
Kiambu kitchen,Githunguri Primary,Githunguri 2,February,Primary,White,2026-02-02,Rice and Western,450,459.0,422.0,37.0,0,3.0,30.0,1,1.0,0.0,0.0,0.0,460.0,0.0,3.0,50,2026-02-02 12:40:38,2026-02-02 13:30:42,We expect an increase in tomorrow's turn up,Food was good,Line was managed with the help of TOD,"Failed taps were 30 an increase from Friday's 17,,,some parents didn't manage to top up on time",Successful taps were 422 an increase from Friday's due to an increase in turn up,@SC- Githunguri Comprehensive
Kiambu kitchen,Cianda Secondary,Kiambu Regions,February,Secondary,White,2026-02-02,Rice and Western,140,122.0,121.0,1.0,0,3.0,17.0,0,0.0,5.7,6.6,0.0,140.0,0.0,3.0,24,2026-02-02 13:20:55,2026-02-02 13:45:21,Expecting a higher turn out tomorrow,Food was hot and delicious,Queue well managed,Failed taps increased from 7 to 17,Successful taps increased from 136 to 121,@Valentine -Tapper Cianda Secondary
Kiambu kitchen,Karia Secondary,Githunguri 2,February,Secondary,White,2026-02-02,Rice and Western,50,47.0,47.0,0.0,4,2.0,2.0,0,1.0,0.0,0.0,0.0,50.0,5.0,2.0,19,2026-02-02 13:15:53,2026-02-02 13:35:03,We expect a rise on successful taps tomorrow,Food was delicious and enough,Line was well managed,The number of failed taps have remained the same 02,The number of successful taps has increased from 42 to 47,@Simon Tapper Karia secondary
Kiambu kitchen,Riara Secondary,Kiambu Regions,February,Secondary,White,2026-02-02,Rice and Western,105,94.0,94.0,0.0,0,2.0,10.0,1,0.0,1.0,1.0,0.0,105.0,0.0,2.0,45,2026-02-02 12:45:00,2026-02-02 13:30:00,We expect a good turnout,Students enjoyed the meal,Easy queue management,Successful taps increased to 94 from 92 on Friday last week,Failed taps increased to 10 from 5 on friday. Some parents failed to top up,@Tapper Riara Sec
Kiambu kitchen,Njenga Karume Primary,Kiambu Regions,February,Primary,,2026-02-02,,200,187.0,177.0,,0,3.0,28.0,0,0.0,0.0,0.0,,200.0,0.0,3.0,40,2026-02-02 12:40:49,2026-02-02 13:20:54,Expecting parents to top up as kids with insufficient balances dint feed.,5 kids came back for second serving,Queue was well managed by techer on duty,Failed taps increased from 24 to 28 as many kids had insufficient balances,Successful taps decreased from 187 to 177 as many kids had failed taps.,@Eliud Nderu Sc Njenga karume comprehensive
Kiambu kitchen,Ciiko Primary,Githunguri 1,February,Primary,White,2026-02-02,Rice and Western,975,950.0,876.0,74.0,0,5.0,36.0,0,9.0,9.0,12.0,0.0,980.0,0.0,5.0,60,2026-02-02 12:30:04,2026-02-02 13:30:20,We expect the number of failed taps to decrease and also turnout to be high this projecting 980,The food was enough and delicious,The queue was well managed by the teacher on duty,The failed taps were increased from 11 to 36. The parents didn't top up,The successful taps decreased from 899 to 876,@Ciiko Comprehensive school -SL- Samy Migwi
Kiambu kitchen,Kiambaa Primary,Kiambu Regions,February,Primary,White,2026-02-02,Rice and Beans,240,236.0,220.0,16.0,0,3.0,33.0,1,3.0,,0.0,0.0,240.0,0.0,3.0,65,2026-02-02 12:45:53,2026-02-02 13:50:59,Expecting ahigher projection as parents continue to pay,Food was hot and delicious,Queue was well managed by the help of the teacher on duty,Failed taps increased from 23 to 33due to insufficient balances,Successful taps increased from 231 to 236 due early payments,@Tabitha wairimu
Kiambu kitchen,Kawaida Secondary,Kiambu Regions,February,Secondary,White,2026-02-02,Rice and Western,95,80.0,80.0,0.0,5,3.0,5.0,0,0.0,0.5,0.5,0.0,95.0,5.0,3.0,20,2026-02-02 13:20:52,2026-02-02 13:40:56,We expect a higher turneout tomorrow,Food was delicious and tasty,Queue was well managed by the teacher on duty,Failed taps increased from 4to 5 parents topped up late,Successful taps decreased from 84 to 80 some students had gone to see a sick student at the hospital,@Njeri kawaida secondary school
Kiambu kitchen,St. Joseph Riabai Secondary,Kiambu Regions,February,Secondary,White,2026-02-02,Rice and Western,135,117.0,117.0,0.0,0,3.0,18.0,1,0.0,4.0,2.2,0.0,130.0,0.0,3.0,50,2026-02-02 12:30:47,2026-02-02 13:20:53,We expect more students,The food was delicious,The line was well managed,Failed taps were 18 some students had not topped up their accounts,Successful taps decreased from 119 to 117 this is because some students had insufficient funds,@Kwamboka (T) St.?joseph riabai secondary
Kiambu kitchen,Karia Primary,Githunguri 2,February,Primary,White,2026-02-02,Rice and Western,483,462.0,413.0,49.0,5,3.0,19.0,2,1.0,5.0,6.0,0.0,470.0,6.0,3.0,60,2026-02-02 12:30:03,2026-02-02 13:30:13,We expect a higher turn out tomorrow,Food was delicious,Queue was well managed by the teacher on duty,Failed taps increased from 10 to 19 due to late payments,Successful taps decreased from 424 to 413 due to a lower turn out today,@Mary SC PCEA Karia comprehensive
Kiambu kitchen,Ndumberi Primary,Kiambu Regions,February,Primary,White,2026-02-02,Rice and Western,780,711.0,662.0,49.0,0,3.0,71.0,4,1.0,10.0,11.0,0.0,780.0,0.0,3.0,105,2026-02-02 12:10:27,2026-02-02 13:55:52,Expecting an increase in turn out tomorrow.,Food was delicious,Easy queue management,Previous day taps were 71 today compared to friday 32 most parents dint top up,Today's successful taps were 662 compared to Friday 737 some parents dint top up today,@Ndumberi primary school
Kiambu kitchen,Kiairia Primary,Githunguri 2,February,Primary,White,2026-02-02,Rice and Western,220,210.0,191.0,19.0,3,2.0,3.0,0,1.0,0.0,0.0,0.0,220.0,3.0,2.0,34,2026-02-02 12:55:56,2026-02-02 13:30:06,We expect all kids to be present and all accounts to be updated.,The food was delicious,Queue was orderly,We had 3 failed taps same as last week friday.,Successful taps decreased from 193 to 191. Some kids were absent.,@SC Lilian - Kiairia comprehensive
Kiambu kitchen,Benson Njau Primary,Kiambu Regions,February,Primary,White,2026-02-02,Rice and Western,410,382.0,336.0,46.0,0,3.0,41.0,2,4.0,7.0,8.0,0.0,400.0,0.0,3.0,87,2026-02-02 12:20:23,2026-02-02 13:47:33,Anticipating a better turn up.,The food was well-prepared.,The ques were neat and manageable.,Failed taps increased from 30 to 41 due to delayed or forgotten top-ups by parents.,Successful Taps decreased from 361 to 336 due to kids stew preference,@Serah (SC) Benson Njau Primary
Kiambu kitchen,Mungai Chengecha Primary,Kiambu Regions,February,Primary,White,2026-02-02,Rice and Western,580,506.0,435.0,71.0,0,3.0,53.0,0,0.0,15.0,16.0,0.0,580.0,0.0,3.0,65,2026-02-02 12:45:15,2026-02-02 13:50:25,Expecting a higher turn up tomorrow,Food was delicious,Queue was managed by the teacher on duty,"In re in failed taps from 26 to 53 , alot of parents had not topped up their accounts",Decrease in successful taps from 490 to 435 alot of kids had insufficient balances,@sc mungai c pry
Kiambu kitchen,Maciri Primary,Kiambu Regions,February,Primary,White,2026-02-02,Rice and Western,400,375.0,340.0,35.0,0,3.0,34.0,0,1.0,6.0,7.0,0.0,400.0,0.0,3.0,100,2026-02-02 12:20:16,2026-02-02 14:00:21,We expect parents to top up on time,Food was hot and enough,Queues were manageable,Failed taps increased to 34;most accounts had insufficient funds,Successful taps reduced to 340 due to high number of failed taps,@Claudiah(SC)Maciri Comprehensive
