Kitchen,School,School_Type,Date,Menu,Rice_variant,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Lunch_Time_Min,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri,Githioro Primary,Primary,2026-01-05,Rice and Greengrams,White,170,201,181,20,0,2,16,6,3,0.0,0.0,,250,0.0,,2026-01-05 12:38:32,2026-01-05 13:38:40,60,,Food was delicious,Line management was organised assisted by tod,"Failed taps were 16, some parents forgot to top up their accounts on time","Successful taps  were 201, kids did not report all to school.",@GITHIORO COMPREHENSIVE
Githunguri,Githima Primary,Primary,2026-01-05,Rice and Greengrams,White,110,126,111,15,0,2,13,5,5,0.0,0.0,,130,4.0,,2026-01-05 12:40:23,2026-01-05 13:30:39,50,,The food was delicious,I managed the queue and the kids were disciplined today,We had 13 failed taps which is a decrease from last year's last 21 failed taps.Moat accounts were topped up on time.,There were 126 actual meals served which is a decrease from last year's last 189 actual meals served.Some kids were absent today.,@Brenda kamawe Githima primary and junior secondary school
Githunguri,Gatina Primary,Primary,2026-01-05,Rice and Greengrams,White,250,264,223,41,0,3,14,12,1,0.0,0.0,,280,0.0,,2026-01-05 12:36:29,2026-01-05 13:24:40,48,,food was delicious and hot,line was well managed,"Failed taps were 14, a high number since it's day. A number of parents didn't manage to credit accounts on time.","Actual meals served were 264 , a higher number compared to the projected number of 250.The number increased due to high turn up and more sufficient funds.",@Kang'ethe Dennis
Githunguri,Kiawairia Primary,Primary,2026-01-05,Rice and Greengrams,White,90,84,70,14,0,2,4,1,1,1.0,2.0,,100,3.0,,2026-01-05 12:40:27,2026-01-05 13:30:42,50,,Food was delicious,Lines were neat and organized,We had 4 failed taps some parents didn't top up on time,We had 70 successful taps we expect number to rise since today was opening date,@Mary kimani SC kiawairia comprehensive school
Githunguri,Githiga Primary,Primary,2026-01-05,Rice and Greengrams,White,150,187,166,21,0,4,26,1,5,0.0,0.0,,210,0.0,,2026-01-05 12:20:51,2026-01-05 13:30:03,69,,Food was delicious,Line  Management was smooth,"Today's   failed  taps  were  26   ,parents  did not  top up",Today's actual meals  served were  187. Turnout  was low since it was an opening  day,@Nicholas-SC - Githiga Comprehensive
Githunguri,Kanyore Primary,Primary,2026-01-05,Rice and Greengrams,White,450,352,322,30,0,3,22,4,4,35.0,29.0,,450,0.0,,2026-01-05 12:40:00,2026-01-05 13:22:00,42,,Food was delicious,Queue was well managed,The number of failed taps was 22 because some parents failed to top up the accounts,The number of actual taps was 352 which is a low turn since most kids were absent,@Kanyore Comprehensive School
Githunguri,Kindiga Primary,Primary,2026-01-05,Rice and Greengrams,White,70,103,89,14,0,2,6,0,1,0.0,0.0,,120,,,2026-01-05 12:45:32,2026-01-05 13:20:37,35,,The food was very delicious,The queue was manageable,There were 6 failed taps. Parents did not top up.,There were 103 successful taps. Students have not all reported back.,@Pauline
Githunguri,Ihiga Primary,Primary,2026-01-05,Rice and Greengrams,White,120,127,115,12,0,2,7,5,2,0.0,0.0,,150,0.0,,2026-01-05 12:45:28,2026-01-05 13:15:36,30,,Food was Enough,Queues were manageable with assistance from teacher on duty.,Today's failed taps were 7.Most parents forgot to top up their accounts being the first day of school opening.,Successful taps was 127.This was a fair number considering it's the first day of school opening.,@Naomi SC-Ihiga Comprehensive
Githunguri,Mitahato Primary,Primary,2026-01-05,Rice and Greengrams,White,180,136,117,19,0,2,2,1,1,11.0,13.0,,180,0.0,,2026-01-05 12:20:23,2026-01-05 13:00:30,40,,food was delicious,Line was well managed by teacher on duty and I,Failed taps were 2 less than previous day because parents toped up on time,Successful taps were 136 less than the previous because a quarter of the school was absent today,@SC - Mitahato Comprehensive school
Githunguri,Gathangari Primary,Primary,2026-01-05,Rice and Greengrams,White,220,219,200,19,0,3,17,13,3,7.0,7.0,,250,0.0,,2026-01-05 12:40:55,2026-01-05 13:30:06,49,,Food was delicious and hot,Queue was smoothly managed by the T.O.D,Being the first day in school it was 17,Successful taps was 219.Kids did not report well to school,@Pauline Gatimu
