Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Ndireti Secondary,Githunguri 2,January,Secondary,White,2026-01-29,Rice and Western,45,40,40,0.0,0,2,4,0,0,1.0,1.0,,45,0.0,,25,2026-01-29 12:30:35,2026-01-29 12:55:44,,The food was delicious,The line was manageable,The number of failed taps increased with a difference of 3 this is because the students claim their parents forgot to top up,The number of successful taps increased with a difference of One some students who didn't feed with us yesterday showed up today,@Tracy Tapper Ndireti secondary school
Githunguri kitchen,Miiri Secondary,Githunguri 1,January,Secondary,White,2026-01-29,Rice and Western,40,34,34,0.0,2,2,3,0,0,2.0,2.0,,40,2.0,,20,2026-01-29 13:10:28,2026-01-29 13:30:35,,The food was hot and delicious,Queue management was neat and organized with assistance of TOD,"Failed taps increased from 2 to 3, the parents didn't top up","Successful taps decreased from 35 to 34,less parents had topped up","@Esther,Tapper; Miiri Secondary School"
Githunguri kitchen,Matuguta Secondary,Githunguri 1,January,Secondary,White,2026-01-29,Rice and Western,130,122,122,0.0,0,2,10,0,0,2.4,2.8,,125,0.0,,15,2026-01-29 13:30:31,2026-01-29 13:45:39,,Food was hot and delicious,Queues were orderly and well managed by me,"Failed taps today were 10  a number we've never had before,most of the parents with no funds didn't pick up calls",Successful taps today were 122 lower than the projected meals that were 130 and also lower than yesterday's 126,@Njeri -Matuguta secondary school
Githunguri kitchen,Githiga Primary,Githunguri 1,January,Primary,White,2026-01-29,Rice and Western,420,421,379,42.0,3,3,26,0,1,116.0,137.0,,420,0.0,,79,2026-01-29 12:30:07,2026-01-29 13:49:11,,Food was sweet and delicious,Line Management was smooth.,Failed taps increased  from 19 to 26.  Parents forgot to top up.,Actual taps increased  from 428 to 421. Parents topped up.,@Nicholas-SC - Githiga Comprehensive
Githunguri kitchen,Gikang'A Kageche Secondary,Githunguri 1,January,Secondary,White,2026-01-29,Rice and Western,330,309,309,0.0,8,3,9,0,8,5.0,5.0,,315,,15.0,40,2026-01-29 13:10:15,2026-01-29 13:50:25,,Food was delicious,Queue was well managed by Tod,Today's failed tap decreased from 11 to 9.some parents topped up on time,Today's successful taps decreased from 327 to 309.Turn out was low,@Pauline Gatimu
Githunguri kitchen,Kiambururu Secondary,Githunguri 1,January,Secondary,White,2026-01-29,Rice and Western,205,204,204,0.0,0,3,4,1,0,0.0,0.0,,218,0.0,,35,2026-01-29 13:15:28,2026-01-29 13:50:50,,The food was delicious,Line management was smooth,Failed taps today was 4,Successful taps today was 204 an increase from previous which was 187,@Salome-kiambururu secondary school
Githunguri kitchen,Gitiha Secondary,Githunguri 1,January,Secondary,White,2026-01-29,Rice and Beans,150,150,143,0.0,0,2,5,0,2,0.0,0.0,,140,0.0,,30,2026-01-29 12:40:13,2026-01-29 13:10:21,,Food was delicious,Queue was manageable by help of teacher on duty,Reduced failed taps compared to the previous day,Successful taps were constant in number,@Jecinta muthoni Gitonga
Githunguri kitchen,Ihiga Primary,Githunguri 1,January,Primary,White,2026-01-29,Rice and Western,165,161,148,13.0,0,2,3,0,0,3.0,5.0,,160,0.0,,35,2026-01-29 12:40:45,2026-01-29 13:15:49,,Food was Enough.,Queues were manageable.,Failed taps were 3 an increase from yesterday's which was 0.Parents didn't top up their accounts.,Successful taps were 161 a decrease of 3 from yesterday's taps which was 165.,@Naomi SC-Ihiga Comprehensive
Githunguri kitchen,Gathangari Primary,Githunguri 2,January,Primary,White,2026-01-29,Rice and Western,415,410,376,34.0,0,3,8,0,2,11.0,2.0,,415,0.0,,70,2026-01-29 12:20:19,2026-01-29 13:30:27,,Food was hot and delicious,The queue was smoothly managed by the T.O.D,Failed taps reduced from 13 to 8.Some parents forgot to top up on time and have urged kids to remind them,Successful taps reduced from 413 to 410. Parents forgot to top up their accounts and some kids were absent from school,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
Githunguri kitchen,Gathaithi Primary,Githunguri 1,January,Primary,White,2026-01-29,Rice and Western,465,476,425,51.0,2,3,13,0,0,0.0,0.0,,470,2.0,,60,2026-01-29 12:45:17,2026-01-29 13:45:22,,Food was great,One teacher assisted with queue management,Failed taps dropped from 17 to 13.,Actual meals served increased from 461 to 476.,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
Githunguri kitchen,Kanyore Primary,Githunguri 1,January,Primary,White,2026-01-29,Rice and Western,600,632,595,40.0,4,3,22,5,5,0.0,0.0,,630,5.0,,75,2026-01-29 12:30:41,2026-01-29 13:45:45,,Food was delicious,Line management was organized,Number of failed taps increased from 20 to 22 . Reminded kids to remind their parents to top up.,Number of successful taps increased from 581 to 632  as more kids reported back due to the exams going on.,"@Haron Muiruri,SL Kanyore Primary"
Githunguri kitchen,Githioro Primary,Githunguri 1,January,Primary,White,2026-01-29,Rice and Western,345,347,318,29.0,0,2,5,0,1,0.0,0.0,,335,0.0,,63,2026-01-29 12:32:44,2026-01-29 13:35:49,,Food was appetising,Line management was organised assisted by tod,"Failed taps Remained same as yesterday 5, some parents forgot to top up their accounts on time","Successful taps increased from 346 to 347, kids turned up well today.",@GITHIORO COMPREHENSIVE
Githunguri kitchen,Gathaithi Secondary,Githunguri 1,January,Secondary,White,2026-01-29,Rice and Western,115,111,111,0.0,0,2,5,0,1,1.2,1.4,,115,0.0,,27,2026-01-29 13:21:56,2026-01-29 13:49:10,,Food was delicious,Queuing was good,We had 5 failed taps a rise from yesterday's 4 due to failure of topping up by parents,We had 111 successful taps a drop from yesterday's 112 due to failure of topping up by parents,@Joseph mburu nga'ang'a
Githunguri kitchen,Gataka Primary,Githunguri 1,January,Primary,White,2026-01-29,Rice and Western,300,299,271,28.0,0,2,5,0,2,0.0,0.0,,300,0.0,,63,2026-01-29 12:38:52,2026-01-29 13:42:01,,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps remained at 5, we reminded kids to request their parents to top up.","The number of actual meals rose from 292 to 299, parents made timely payments for their kids",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
Githunguri kitchen,Kindiga Primary,Githunguri 1,January,Primary,White,2026-01-29,Rice and Western,190,194,175,19.0,0,2,5,0,1,0.0,0.0,,190,0.0,,50,2026-01-29 12:40:16,2026-01-29 13:30:25,,"The food was sweet,kids really enjoyed the Bananas.",Queues were orderly,"Failed taps decreased to 5 from yesterday's 10,some parents still did not top up accounts.","Successful taps increased to 194 from yesterday's 184,There was high turn out.",@James Mbugua SC Kindiga Primary
Githunguri kitchen,Kiawairia Primary,Githunguri 1,January,Primary,White,2026-01-29,Rice and Western,145,146,130,16.0,2,2,5,0,0,0.0,0.0,,145,2.0,,85,2026-01-29 12:00:16,2026-01-29 13:25:21,,Food was hot and delicious,Lines were neat and organized,We had 5 failed taps an increase from 4 some parents didn't top up on time,We had 130 successful taps an increase from 127 turn out was good,@Mary kimani SC kiawairia comprehensive school
