Kitchen,School,Cluster,Month,School_Type,Rice_variant,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Lunch_Time_Min,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
Githunguri kitchen,Gathaithi Secondary,Githunguri 1,March,Secondary,White,2026-03-23,Rice and Beans,105,92,962,0.0,0,2,5,0,2,6.0,7.0,,100,0,2,25,2026-03-23 13:20:18,2026-03-23 13:45:28,,Food was delicious,Queuing was good,We had 5 failed taps same as Thursday's to similar numbers of top ups,We 92 successful taps a drop from Thursday 101 successful taps due to failure of attending school by students,@Joseph mburu nga'ang'a
Githunguri kitchen,Riamute Primary,Githunguri 2,March,Primary,White,2026-03-23,Rice and Beans,320,332,310,20.0,0,3,22,0,1,0.0,0.0,,325,0,3,60,2026-03-23 12:20:20,2026-03-23 13:20:25,,The food was yummy and hot,I managed the queue and it was Running smoothly,We had 22 failtaps a lower number than previous day which was 26 since their accounts had insufficient funds,We had 332 successful taps a higher number than previous day which was 313 since their accounts had sufficient funds,@sc willy- Ceb Riamute primary school
Githunguri kitchen,Kanjai Secondary,Githunguri 2,March,Secondary,White,2026-03-23,Rice and Beans,180,193,193,0.0,0,2,2,0,0,0.0,0.0,,185,0,2,36,2026-03-23 13:15:07,2026-03-23 13:50:58,,The meal was delicious and hot.,Queue management was ordered by me and TOD.,"The successful meal served was 193, the turnout was great today.",We had 2 failed taps.,"@mercy, tapper, kanjai secondary"
Githunguri kitchen,Ngewa Primary,Githunguri 2,March,Primary,White,2026-03-23,Rice and Beans,275,270,242,28.0,0,2,18,0,1,1.25,1.75,,275,0,2,45,2026-03-23 12:45:39,2026-03-23 13:30:54,,Food was delicious,Queues well made,Today's failed taps were28,Successful taps were 242,@Ngewa primary school.
Githunguri kitchen,Kihuririo Primary,Ruiru-Githunguri,March,Primary,White,2026-03-23,Rice and Beans,460,460,398,62.0,0,3,5,0,8,0.0,0.0,,470,0,3,45,2026-03-23 13:00:49,2026-03-23 13:45:58,,The food was delicious,Queue was manageable,Failed taps decreased from 11 to 5 parents paid .,Successful taps increased from 453 to 460 many kids reported,@kihuririo primary
Githunguri kitchen,Kigumo Secondary,Ruiru-Githunguri,March,Secondary,White,2026-03-23,Rice and Beans,110,112,112,0.0,0,2,2,0,0,0.0,0.0,,110,0,2,20,2026-03-23 13:00:54,2026-03-23 13:20:58,,The food was delicious,Queue was smooth,Failed taps were only 2,Successful taps increased from 109 to 112 parents paid on time,@daniel Kariuki
Githunguri kitchen,Mitahato Secondary,Githunguri 2,March,Secondary,White,2026-03-23,Rice and Beans,40,43,43,0.0,0,2,3,0,0,0.0,0.0,,45,0,2,20,2026-03-23 13:00:46,2026-03-23 13:20:56,,Lunch was delicious and well prepared,I managed the line with ease,The number of failed taps increased from 1-3 because accounts weren't funded,The number of successful taps decreased from 45-43 because of the number of failed taps,"@minne,Tapper Mitahato Secondary"
Githunguri kitchen,Matuguta Secondary,Githunguri 1,March,Secondary,White,2026-03-23,Rice and Beans,110,119,119,0.0,0,2,2,0,0,0.0,0.0,,125,0,2,30,2026-03-23 12:40:16,2026-03-23 13:10:31,,Food was hot and delicious,Queues were orderly and well managed by me,Failed taps today increased from 01 last time to 02,"Successful taps today increased from 105 to 119,most of the kids are back and also most are feeding with the ongoing exams",@Njeri -Matuguta secondary school
Githunguri kitchen,Gatitu Primary,Githunguri 1,March,Primary,White,2026-03-23,Rice and Beans,375,375,338,37.0,1,3,1,0,2,0.0,0.0,,375,1,3,70,2026-03-23 12:25:31,2026-03-23 13:35:38,,Food was enough for all.,Students maintained order thus simplifying the tapping process.,"Previous failed taps were 5,today 1 being a decrease... accounts had enough funds to feed.",Successful taps have increased by 5 from 333 to 338 because parents made timely payments.,@Wambui ikonya SC Gatitu comprehensive
Githunguri kitchen,Ndireti Primary,Githunguri 2,March,Primary,White,2026-03-23,Rice and Beans,215,214,179,35.0,0,2,5,0,1,0.0,0.0,,215,0,2,65,2026-03-23 12:40:22,2026-03-23 13:45:28,,Food was delicious,queue management was okay,Failed taps were 5.parents failed to top up,Successful taps were 214.Students turned up well,@SC Sharon _Ndireti primary
Githunguri kitchen,William Ng'Iru Secondary,Githunguri 2,March,Secondary,White,2026-03-23,Rice and Beans,520,505,505,0.0,0,3,8,0,1,5.0,5.0,,520,0,3,39,2026-03-23 12:40:55,2026-03-23 13:20:15,,Food was hot and delicious,Queue was managable,Failed taps increased by 1 from 7 to 8 accounts not credited on time,Successful taps decreased from 536 to 505 some students did not turn out mostly girls,@Tapper Dennis -william Ng'iru Secondary
