Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Githioro Primary School,2026-01-30,Rice and Beans,335,343,315,28,0,2,7,0,3,0,0,,345,0,,"30 Jan 2026, 12:30:33","30 Jan 2026, 13:35:37",,The food was appetising,Line management was organised assisted by tod,"Failed taps increased from 5 to 7, some parents forgot to top up their accounts on time","Successful taps decreased from 347 to  343, this was due to increased number of failed taps",@GITHIORO COMPREHENSIVE
,Gitombo Primary School,2026-01-30,White rice and beans,180,181,168,13,0,2,0,0,1,0,0,,180,0,,"30 Jan 2026, 12:40:17","30 Jan 2026, 13:30:22",,Food was delicious.,Queue was manageable by the help of teacher on duty.,Today failed tap was 0 a decrease of 1 from 1 yesterday  parents did top up on time.,Actual meals served today was 181 an increase of 2 from 179 learners show up well today.,@Veronica Mwaura -S/C- Gitombo primary
,Kiawairia Primary,2026-01-30,Rice and beans,140,138,123,15,2,2,7,0,0,1,1,,140,2,,"30 Jan 2026, 12:00:10","30 Jan 2026, 13:30:16",,Food was delicious and hot,Lines were neat and organized,We had 7 failed taps an increase from 5 some parents didn't top up on time,We had 123 successful taps a decrease from 130 turn was low,@Mary kimani SC kiawairia comprehensive school
,Ihiga Primary,2026-01-30,Rice and Beans,160,157,143,14,0,2,4,0,3,2,0,,160,0,,"30 Jan 2026, 12:40:28","30 Jan 2026, 13:15:34",,Food was Enough,Queues were manageable with assistance from teacher on duty.,Failed taps were 4. An increase from yesterday's 3.Parents didn't top up their accounts on time.,Successful taps were 157 a decrease from yesterday's which was 161.Today's turn up was lower than yesterday.,@Naomi SC-Ihiga Comprehensive
,Githiga Primary,2026-01-30,White rice and beans,410,428,385,43,0,3,28,0,1,0,0,,420,0,,"30 Jan 2026, 12:30:18","30 Jan 2026, 13:35:23",,Food was delicious :yum:,Lines Management was smooth,Failed tap increased  from 26 to 28.parents forgot to top up.,Actual taps increased  from 421 to 428. Students turnout was good.,@Nicholas-SC - Githiga Comprehensive
,Kiawairia Secondary School,2026-01-30,White rice and beans,55,51,51,0,0,2,4,0,0,1,1,,55,0,,"30 Jan 2026, 13:22:00","30 Jan 2026, 13:33:10",,Food was appetizing and yummy,Line management was transitioning good assisted by TOD,Number of failed taps increased from 1 to 4 parents didn't top up their accounts on time,"Number of actual meals decreased from 57 to 51 ,,4 students had insufficient accounts and also some students were absent today",@Patrick Kariuki Kiawaria secondary school Tapper
,Gikang'a Kageche Secondary School,2026-01-30,Rice and Beans,310,299,299,0,0,3,9,0,2,2,2,,330,0,,"30 Jan 2026, 13:10:04","30 Jan 2026, 13:45:09",,Food was delicious,Queue was smoothly managed by TOD,Today's failed taps was the same as yesterday which was 9,Today's successful taps decreased from 309 to 299....30 students went for games,@Pauline Gatimu
,Gitiha Secondary School,2026-01-30,White rice and beans stew,150,144,144,0,0,2,7,0,0,0,0,,150,0,,"30 Jan 2026, 13:10:32","30 Jan 2026, 13:41:46",,Food was tasty,Queue was smooth,Increased failed taps compared to the previous day,The successful taps were constant,@Jecinta muthoni Gitonga
,Gatitu Primary,2026-01-30,RICE AND BEANS.,380,370,331,39,0,3,16,0,2,1,1,,380,1,,"30 Jan 2026, 12:15:57","30 Jan 2026, 14:05:04",,Food was delicious :yum:..,Learners were well organized.,An increase from 8 to 16...some accounts had low to no funds at all.,Successful taps also decreased by 4 from 374 to 370 due to accounts not being funded timely..,@Wambui ikonya -sc- Gatitu comprehensive
,Kiambururu Secondary School,2026-01-30,Rice with beans,205,190,190,0,0,3,2,0,1,1,2,,205,0,,"30 Jan 2026, 13:15:59","30 Jan 2026, 13:30:25",,The food was delicious,Line management was smooth with the help of TOD,Failed taps today reduce to  2 compared to previous which was 4.,"Successful taps was 190 a decrease from  yesterday which was 204, some students did not report to school today.",@Salome-kiambururu secondary school
