Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Mukua Secondary School,2026-02-05,White rice and beans,85,75,74,1,0,2,7,0,1,1,2,0,85,0,2,"5 Feb 2026, 13:18:40","5 Feb 2026, 13:38:55",Expecting students with failed taps will top up their accounts tomorrow,Food was good,I managed the queue,Failed taps increased from 5 to 7.most parents didn't remember to top up on time,Successful taps decreased fom 81 to 75.there were many failed taps today,@Mukua secondary
,Njenga Karume Comprehensive School,,,210,206,197,,0,3,19,0,3,0,0,,210,0,3,"5 Feb 2026, 12:40:44","5 Feb 2026, 13:20:49",Expecting a better number,No kids came back for second serving,Queue was well managed by techer on duty,Failed taps remained at 19,Successful taps increased from 194 to 197 as more kids feed with us,@Eliud Nderu Sc Njenga karume comprehensive
,Cianda Secondary School,2026-02-05,White rice and beans,145,137,136,1,0,3,11,0,3,0,0,0,150,0,3,"5 Feb 2026, 13:20:23","5 Feb 2026, 13:45:40",Expecting a higher turn out tomorrow,Food was hot and delicious,Queue well managed,Failed taps increased from 5 to 11,Successful taps decreased from 140 to 136,@Valentine -Tapper Cianda Secondary
,ACK Riabai Primary School,2026-02-05,Rice and yellow beans,350,353,353,27,0,3,13,0,8,,0,0,350,0,3,"5 Feb 2026, 12:00:37","5 Feb 2026, 13:25:46",Projection to be topped,Everything was smooth,It was managable,Failed taps are constant,Successful taps increased,@Camilla (SC) ACK RIABAI PRIMARY
,Ting'ang'a Secondary School,2026-02-05,Rice and beans,120,127,120,7,0,4,3,0,0,0,0,0,120,0,4,"5 Feb 2026, 13:20:26","5 Feb 2026, 13:50:40",Hopping for a better turn out,The food was hot and delicious,Queue was neat and manageable,Today's failed taps were 3 which decreased from yesterday's this due to parent topping up the meal cards,Today's Successful taps were 120 which was an increase from yesterdays taps due to higher turn out,@Brenda Kamau Tapper Ting'ang'a Secondary school
,Maciri Primary School,2026-02-05,Rice and Beans,400,401,366,35,0,3,11,0,0,0,0,0,400,0,3,"5 Feb 2026, 12:25:29","5 Feb 2026, 13:50:32",We expect a similar turn out.,Food was delicious:kids enjoyed,Queues were manageable,Failed taps reduced to 11;accounts had insufficient funds.,Successful taps increased to 366;turn out was good,@Claudiah(SC)Maciri Comprehensive
,St. Augustine Gatono Primary,2026-02-05,Rice and Beans,170,177,161,16,2,3,3,0,0,0,0,0,180,2,3,"5 Feb 2026, 12:35:37","5 Feb 2026, 13:30:45",Expecting higher turn out tomorrow,Food was delicious,Queue was well managed,Failed taps increased decreased from 7 to 3 because parents topped up on time,Successful taps increased from 151 to 161 as kids reported back to school,@Anne Njoroge -SC St.?Augustine
,Benson Njau Primary School,2026-02-05,Tumeric Rice and Beans,415,431,374,57,0,3,14,2,14,0,0,0,410,0,3,"5 Feb 2026, 12:20:48","5 Feb 2026, 13:45:09",Anticipating a low turn out due to kids stew preference.,The food was well-prepared.,The ques were neat and manageable.,Failed taps decreased from 19 to 14 thanks to timely top-ups by parents.,"Successful taps slightly increased from 372 to 374, turn up improved today.",@Serah (SC) Benson Njau Primary
,Kiababu Primary School,2026-02-05,Turmeric rice and beans,270,269,244,25,0,2,2,0,2,0,0,0,270,0,2,"5 Feb 2026, 12:40:13","5 Feb 2026, 13:30:20",Expecting more kids to,The food was delicious,Queue was neat with the help of the teacher on duty,Failed taps decreased from 9 to 2 as most parents managed to pay on Time,Successful taps decreased from 272 to 269 as some parents did not manage to pay on Time,@kiaibabu primary school
,Gicoco Primary School,2026-02-05,Rice and beans,370,384,334,50,0,3,23,0,2,0,0,0,350,0,3,"5 Feb 2026, 12:20:48","5 Feb 2026, 13:50:54",Some Kids skip lunch on Friday,Food was delicious,Queue was managed by the teacher on duty,Failed taps increased from 18 to 23 some parents didn't remember to top up on time,Successful taps reduced from 343 to 334 turn up was lower as kids took uji few minutes to lunch time making some not to show up for lunch,@Anne (SC) Gicoco comprehensive
,Kiambaa Comprehensive School,2026-02-05,Tumeric rice and beans,255,251,234,17,0,3,29,1,2,0,0,2,250,0,3,"5 Feb 2026, 12:45:28","5 Feb 2026, 13:35:32",Expecting ahigher turn out as parents continue to pay,Food was hot and delicious,Queue was well managed by the help of the teacher on duty,Failed taps increased from 27 to 29 due to insufficient balance,Successful taps decreased from 254 to 251 due to delay in payments,@Tabitha wairimu
,Riara Secondary School,2026-02-05,Turmeric Rice   & Beans,110,104,104,0,0,2,8,0,1,0,0,0,110,0,2,"5 Feb 2026, 12:45:01","5 Feb 2026, 13:30:03",We expect a good turnout.,Food was delicious. Students enjoyed the meal.,Easy queue management.,Successful taps decreased to 104 from yesterday's 110,Failed taps increased to 8 from yesterday's 4. Some parents failed to top up.,@Tapper Riara Sec
,Kiairia Comprehensive School,2026-02-05,Tumeric Rice and Beans,220,218,200,18,3,2,5,0,0,0,0,0,220,3,2,"5 Feb 2026, 12:54:17","5 Feb 2026, 13:30:23",We expect all kids to be present and accounts with insufficient funds to be updated.,Food was delicious.,Queue was orderly,Failed taps increased from 4 to 5. Respective  parents didn't topup their accounts.,Successful taps was 200 same as yesterday's.,@SC Lilian - Kiairia comprehensive (edited)
