Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Kanyore Primary School,2026-01-14,Rice and Beans,630,609,567,42,0,3,14,2,4,15,6,,620,0,,"14 Jan 2026, 12:40:00","14 Jan 2026, 13:33:00",,Food was delicious,Queue  was well managed,The number of failed taps increased  from  10 yesterday to 14 because less accounts were topped up.,The number of successful taps  reduced from 619 yesterday because some kids were absent.,@Kanyore Comprehensive School
,Gitiha Secondary School,2026-01-14,white rice and beans stew,130,126,126,0,0,2,10,3,2,2,3,,130,0,,"14 Jan 2026, 12:40:28","14 Jan 2026, 13:05:50",,the food was enough,the queue was smooth and orderly,failed taps had increased,successful taps had increased from the previous day,@Kang'ethe Dennis
,Gatitu Primary,2026-01-14,RICE AND BEANS,385,377,341,36,1,3,10,0,0,1,1,,380,1,,"14 Jan 2026, 12:10:38","14 Jan 2026, 13:30:45",,Food today was well cooked.,Students moved in order from class to class..,Failed taps have increased by 2 from 8 to 10 resulted by parents not topping up on time or not at all.,Successful taps decreased from 379 to 377...few students never availed for tapping.,@Wambui ikonya -sc- Gatitu comprehensive
,Mathanja Priamry School,2026-01-14,Rice and Beans,200,191,174,17,0,2,1,0,0,12,3,,195,0,,"14 Jan 2026, 12:15:33","14 Jan 2026, 13:30:41",,food was delicious,I managed the queue without any assistance,today we had only 1 failed tap same as yesterday. only one parent who didn't top-up.,today we had 191 actual meals served a decrease compared to yesterday 194.  some kids were absent today.,@mathanja primary school
,Gathaithi Secondary School,2026-01-14,Rice and beans,110,96,96,0,0,2,5,1,3,4.2,4.9,,110,,,"14 Jan 2026, 13:17:53","14 Jan 2026, 13:55:09",,Food was delicious,Queuing was in order,We had 5 failed taps a rise from 4 yesterday due  failure of topping up by  some parents,We had a rise from yesterday's 94 to 96 successful taps due to more students attending school,@Joseph mburu nga'ang'a
,Gathangari Primary School,2026-01-14,White Rice and beans,415,409,382,27,0,3,9,2,2,12,2,,415,0,,"14 Jan 2026, 12:20:16","14 Jan 2026, 13:20:31",,Food was delicious,The queue was smoothly managed by the teacher,Failed taps reduced slightly from 10 to 9.Parents forgot to top up their accounts but have urged kids to remind their parents to top up,Successful taps increased slightly from 408 to 409.Some parents topped up on time,@PCEA GATHANGARI COMPREHENSIVE SCHOOL
,Kiambururu Comprehensive School,2026-01-14,White Rice and beans,285,269,237,32,0,3,4,0,0,2,2,,275,0,,"14 Jan 2026, 12:20:17","14 Jan 2026, 13:40:22",,The food was delicious.The kids enjoyed,Line management was smooth and fast,Failed taps were 4 the same as yesterday.Parents did not top up,Actual meals served decreased from 279 to 269.Student turnout was lower today,@Kiambururu Comprehensive School
,Kiambururu Secondary School,2026-01-14,Rice with Beans,190,191,191,0,0,3,1,6,4,0,0,,200,0,,"14 Jan 2026, 13:20:33","14 Jan 2026, 13:50:59",,The food was delicious students enjoyed the meal,line was well managed,failed taps today was 1 compared to previous which was 3 most of the parents to top up,"successful taps 191 an increase from previous which was 178, students are continuing report to school",@Salome-kiambururu secondary school
,Githiga Primary,2026-01-14,Whiterice and beans,390,394,357,37,0,3,22,4,4,00,0,,395,00,,"14 Jan 2026, 12:30:20","14 Jan 2026, 13:55:28",,Food was sweet  and delicious.,Line Management was smooth,Failed taps decreased by 1 from 23,Actual  meals increased  from  380 to 394.turn out increased.,@Nicholas-SC - Githiga Comprehensive
,Githioro Primary School,2026-01-14,Rice and Beans,325,335,311,24,0,2,5,2,6,0,0,,335,0,,"14 Jan 2026, 12:44:26","14 Jan 2026, 13:36:38",,Food was appetising,Line management was organised assisted by tod,"Failed taps reduced from yesterday’s 7 to 5 today, some parents remembered to top up their accounts.","Successful taps increased from yesterday’s 322 to 335 today, kids are turning up well to school.",@GITHIORO COMPREHENSIVE
,GATHAITHI PRIMARY,2026-01-14,White Rice and Beans,465,472,429,43,1,3,9,2,3,00,0,,480,3,,"14 Jan 2026, 12:30:47","14 Jan 2026, 13:30:50",,Food was great,Teacher on duty managed the queue,Failed taps dropped from 13 to 9,Actual meals increased from 457 to 472.,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Gikang'a Kageche Secondary School,2026-01-14,Rice and beans,240,245,245,0,0,3,4,6,6,0,0,,260,0,,"14 Jan 2026, 13:10:53","14 Jan 2026, 13:45:01",,Food was delicious,Queue was well managed by  the help of Deputy Principal,Today failed taps was the same as yesterday which was 4.parent didn't top up on time,Todays successful taps increased from 231 to 245.Turn out increased due to grade 10 admission,@Pauline Gatimu
,Mukuyu Secondary School,2026-01-14,Rice and Beans,260,274,274,0,0,3,16,5,21,0,0,,300,0,,"14 Jan 2026, 12:40:32","14 Jan 2026, 14:00:44",,Food was delicious,Queue was well managed,Mukuyu secondary school failed taps increases to 16 compared to previous which was 11 because grade 10 join and some parents didn't top up,Mukuyu secondary school actual taps was 274 which increases from 229 bacause grade 10 are still reporting,@Mukuyu Secondary School
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-01-14,Rice and Beans,285,289,275,14,0,2,7,0,0,0,0,,295,0,,"14 Jan 2026, 12:36:49","14 Jan 2026, 13:34:57",,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps rose from 5 to 7, we reminded kids to request their parents to top up.","The number of actual meals rose from 283 to 289, parents made timely payments for their kids.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Gathiruini Primary School,2026-01-14,Rice and Beans,250,240,212,28,0,2,2,0,3,2,3,,245,0,,"14 Jan 2026, 12:30:12","14 Jan 2026, 13:30:18",,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 2 a decrease from 3 this is because parents topped up their accounts on time,Actual meal served today were 240 same as yesterday this is because parents topped up their accounts on time,@Catherine Wanjiru
,PCEA Matuguta Secondary School,2026-01-14,White rice and beans,110,115,115,0,0,2,3,1,8,00,0,,110,00,,"14 Jan 2026, 13:30:40","14 Jan 2026, 13:50:05",,Food was hot and delicious,Queues were orderly and well managed by the help of the tod and the school administration,Failed taps today were 03 higher than yesterday's 01,Successful taps today were 115 higher in comparison to the projected meals that were 110 and higher than yesterday's 100,@Njeri -Matuguta secondary school
,Kiawaiguru Primary School,2026-01-14,Rice and beans,220,219,199,20,2,2,0,3,1,0,0,,220,2,,"14 Jan 2026, 12:20:00","14 Jan 2026, 13:20:00",,Food was delicious.,Line was oderly.,Failed taps were 0 just like yesterday. I reminded parents to top up on time.,Actual meals served increased from yesterday’s 217 to today 219.Most pupils reported to school today.,@KIAWAIGURU PRIMARY SCHOOL
,PCEA Matuguta Primary & Junior Secondary School,2026-01-14,Rice and Beans,450,433,401,32,3,3,24,2,3,4,5,,450,3,,"14 Jan 2026, 12:30:54","14 Jan 2026, 13:30:01",,Food was delicious,Queue was well managed,Failed taps were 24 an increase of 15 taps from yesterday 9 failed taps . Respective parents had not topped up.,Actual meals were 433 a decrease of 12 taps from yesterday 445 actual meals . Some parents had not topped up their kids' accounts,@Matuguta primary
,Ihiga Primary,2026-01-14,White Rice and Beans,165,172,159,13,0,2,0,3,1,0,0,,170,0,,"14 Jan 2026, 12:40:22","14 Jan 2026, 13:20:28",,Food was Enough,"Lines were well organized,kids queued from lower classes to upper classes.",Today's failed taps was 0 the same as yesterday's.I reached out to parents with insufficient funds and they topped up.,Today's Actual meals served was 170 an increase from yesterday's taps which was 165.Kids are continuing to report back to school.,@Naomi SC-Ihiga Comprehensive
