Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Gatitu Primary,2026-01-13,RICE AND GREEN GRAMS.,375,379,347,32,1,3,8,2,6,00,0,,380,1,,"13 Jan 2026, 12:15:34","13 Jan 2026, 13:35:46",,Food was delicious .,Teacher on duty helped with line management... students moved orderly.,"Failed taps have decreased from 10 to 8 taps today,, parents that I called for top up adhered.",An increase in successful taps from 338 to 347.. Accounts had funds and students present.,@Wambui ikonya SC Gatitu comprehensive
,Kiawaiguru Primary School,2026-01-13,Rice and Green Grams,200,217,197,20,2,2,0,1,6,0,0,,220,2,,"13 Jan 2026, 12:30:00","13 Jan 2026, 13:25:00",,Lunch was delicious,Lunch was delicious,Failed taps decreased from yesterday’s 4 to today0.I called and reminded parents to top up before lunch time.,Actual meals served increased from yesterday’s 202 to today 217.Most pupils reported to school.,@ANN SC KIAWAIGURU PRIMARY SCHOOL
,Githioro Primary School,2026-01-13,White Rice  and Greengrams,313,322,297,25,0,2,7,1,0,2,0,,325,0,,"13 Jan 2026, 12:37:48","13 Jan 2026, 13:34:05",,Food was hot and appetising,Line management was organised assisted by tod.,"Failed taps reduced from 9 to 7, some parents  forgot to top up their accounts on time","Successful taps increased from 313 to 322,  most kids are back to school.",@GITHIORO COMPREHENSIVE
,Kindiga Primary & Junior Secondary School,2026-01-13,Rice and GG,185,188,169,19,0,2,2,4,1,00,0,,190,00,,"13 Jan 2026, 12:40:06","13 Jan 2026, 13:30:14",,The food was delicious.,Queues were orderly.,"Failed taps decreased to 2 from yesterday's 4,some parents still did not top up accounts.","Successful taps increased to 188 from 179,Turn out was high and we also registered new students.",@James Mbugua SC Kindiga Primary
,Githiga Primary,2026-01-13,Whiterice  and great grams,390,380,346,34,0,3,23,9,2,3,4,,385,0,,"13 Jan 2026, 12:30:35","13 Jan 2026, 13:58:40",,Food was sweet and delicious,Line Management was smooth,Failed taps increased from 19 to 23 . Some parents forgot to top up their accounts.,Actual  meals increased from  345 to 380. Students  turnout  increased  .Grad 7 reported.,@Nicholas-SC - Githiga Comprehensive
,Mathanja Priamry School,2026-01-13,rice and green grams,195,194,174,20,0,2,1,6,2,0,0,,200,0,,"13 Jan 2026, 12:25:28","13 Jan 2026, 13:20:34",,food was delicious,I managed the queue without any assistance since kids were orderly.,today we had 1 failed tap same as yesterday. only one parent didn't top-up their account.,today we had 194 actual meals served an increase compared to yesterday 187. this is because we had new comers who reported today.,@mathanja primary school
,Miiri Secondary School,2026-01-01,White rice and GG,40,18,18,0,1,2,1,0,4,7,7,,30,1,,"13 Jan 2026, 13:10:52","13 Jan 2026, 13:30:06",,The food was hot and delicious,Queue management was neat and orderly with assistance of TOD,"Failed taps decreased from 3 to 1, more parents had topped up on time","Successful taps decreased from 26 to 18,, 20 students were sent home due to school fees arrears which was not communicated earlier by the administration","@Esther,Tapper; Miiri Secondary School"
,Kiambururu Secondary School,2026-01-13,Rice with GG,180,178,178,0,0,3,3,11,10,1,2,,190,0,,"13 Jan 2026, 13:25:30","13 Jan 2026, 13:55:49",,The food was delicious students enjoyed the meal,line was smooth,"Failed taps today was 3 compared to previous which was 1, some parents forgot to top up.","Successful taps was 178 compared to previous which was 161, grade 10 reported today",@Salome-kiambururu secondary school
,Gathaithi Secondary School,2026-01-13,Rice and green grams,100,94,94,0,0,2,4,0,5,1.8,2.1,,100,0,,"13 Jan 2026, 13:21:53","13 Jan 2026, 13:50:37",,Food was delicious,Queuing was good,We had 4 failed taps a rise from 2 due to failure of topping up,We had 94 successful taps a rise from yesterday's 74 due to more students attendance,@Joseph mburu nga'ang'a
,Kiambururu Comprehensive School,2026-01-13,White Rice and GG,270,279,248,31,0,3,4,0,0,0,0,,290,0,,"13 Jan 2026, 12:30:53","13 Jan 2026, 13:40:00",,The food was hot and delicious,Line management was smooth and fast,Failed taps decreased from 13 to 4.Parents topped up on time.,Actual meals served increased from 262 to 279.Student turnout was high and there were few failed taps,@Kiambururu Comprehensive School
