Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Riara Secondary School,2026-03-17,White rice & beans,105,104,104,0,0,2,3,0,0,0,0,0,105,0,2,"17 Mar 2026, 13:10:00","17 Mar 2026, 13:40:00",We expect a good turnout tomorrow,Food quantity was okay,TOD assisted with queue management,Successful taps were 104. an increase of 6 from yesterdays 98,Failed taps were 3. a decrease with 3 from yesterdays 6.,@Tapper Riara Sec
,Kiambaa Comprehensive School,2026-03-17,White rice and beans,235,231,214,17,0,3,12,0,3,0,0,0,220,0,3,"17 Mar 2026, 12:44:41","17 Mar 2026, 13:35:46",Expecting alower projection since kids will be sent home for school fees,Food was hot and delicious,Queue was well managed by the help of the teacher on duty,Failed taps decreased from31 to 12 due to early payments,Successful taps increased from209 to 231 due to early payment,@Tabitha wairimu
,Ngemwa Primary and Junior School,2026-03-17,WHITE RICE AND BEANS,215,222,198,24,0,2,2,0,0,0,0,0,220,0,2,"17 Mar 2026, 12:35:31","17 Mar 2026, 13:25:36",We expect the same turnup tomorrow.,Food was delicious,Line management was successful,Failed taps decreased from 7 to 2. Most parents topped up on time,Successful Taps increased from 190 to 198 because of the reduced number of failed taps.,@SC Lucy - Ngemwa primary
,Lioki Comprehensive School,2026-03-17,white rice and beans and bananas,150,154,133,21,0,2,7,0,4,00,0,0,155,0,2,"17 Mar 2026, 13:00:28","17 Mar 2026, 13:35:35",we expect the students to keep on availing themselves for tapping,food was hot and delicious.  kids enjoyed the bananas,queue was well organized with the help of the class prefects,failed taps reduced by 7. This was because during breaktime I went round classes checking balances and those without I called their parents and reminded them to top up their kids accounts,successful taps increased by 14 as parents remembered to top up their kids accounts. It's also a good improvement from the strategies I put in place to make sure that all registered kids present have availed themselves for tapping. The actual meals served today have in turn increased by 10 which is a positive response from the kids.,@SC Phoebe - Lioki Primary school
,Riara Primary School,2026-03-17,Rice and Beans,205,220,199,23,0,2,9,0,3,0,0,0,220,0,2,"17 Mar 2026, 12:20:17","17 Mar 2026, 13:30:22",We expect to have a high turn out tomorrow like today,Food was delicious and well cooked,Easy queue management,Failed taps have reduced from 15 to 9,Successful taps have increased from 182 to 199 turn out was very high today,@Jeniffer -(SC) Riara primary school
,Benson Njau Primary School,2026-03-17,Rice and Beans,430,457,412,45,0,3,24,1,1,0,0,0,440,0,3,"17 Mar 2026, 12:10:45","17 Mar 2026, 13:48:56",Anticipating a better turn out.,The food was well-prepared.,The queues were neat and manageable.,Failed taps decreased from 41 to 24 due to timely top-ups by parents.,"Successful taps increased from 365 to 412, turn out increased. Bananas were on today's menu",@Serah (SC) Benson Njau Primary
,PCEA Karia Comprehensive School,2026-03-17,Food was delicious,440,441,397,44,3,3,11,0,2,0,0,0,445,5,3,"17 Mar 2026, 12:35:14","17 Mar 2026, 13:20:29",We expect a higher turn out tomorrow,Food was delicious,Queue was well managed by the teacher on duty,Failed taps decreased from 16 to 11 due to early payments,Successful taps increased from 377 to 397 due to a higher turn out today,@Mary SC PCEA Karia comprehensive
,Gathanji Secondary School,2026-03-17,White rice and beans,60,62,62,0,0,2,0,0,0,0,0,0,64,0,2,"17 Mar 2026, 13:20:40","17 Mar 2026, 13:27:53",We expect a higher turnout tomorrow compared to today,Food was sweet and delicious,The queue was well managed by the teacher on duty,There was a decrease in the number of failed taps from 2 to 0 since parents toped up their accounts,There was an increase in the number of succeful taps from yesterday 57 to 62 since parents toped up their accounts.,@Purity _ tapper Gathanji sec.
,Kiairia Secondary School,2026-03-17,Rice and Beans,55,46,46,0,0,2,3,0,1,0,0,0,50,0,2,"17 Mar 2026, 13:13:02","17 Mar 2026, 13:30:16",I expect a normal turn up,The food was delicious,Line management was fair,Failed taps today increased from 2 to 3 parents didn't top up their accounts on time,Successful taps today increased from 40 to 46,@Janet tapper kiairia secondary
,HGM Ting'ang'a Primary School,2026-03-17,White Rice and Beans,500,525,448,77,0,3,51,0,9,0,0,0,500,0,3,"17 Mar 2026, 12:10:16","17 Mar 2026, 13:50:19",Manual deductions will not be accommodated,Food was hot and delicious,Queue management was good,Failed taps decreased from 70 to 51. Some parents responded to topping up.,Successful taps increased from 425 to 448 because of a decrease in failed taps.,@SL Ting'ang'a HGM Primary
,Githunguri Technical & Secondary School,2026-03-17,Rice and beans,222,215,215,0,0,2,6,0,3,2,3,0,220,0,2,"17 Mar 2026, 13:25:00","17 Mar 2026, 14:00:15",We expect a rise of successful taps tomorrow,Food was delicious and warm,The queue was well manageable by teacher on duty,Failed taps today was 6 which is a decrease compared from 9 to 6 parents top up,The actual meal served today was 215 which is an increase compared from 200 to 215 parents top up,"@Yvonne mugure, Githunguri Technical And Secondary School , Tapper"
