School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Received,B_W_G_Received,Rice_Excess,B_W_G_Excess,Rice_Remaining,B_W_G_Remaining,B_W_G_Temperatures,Rice_Temp,Missed_Food,Next_Day_Projection,Food_Arrival_Time,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By,Week,Weekday,Missed_Projection
Ak Magugu Primary,06-01-25,Rice and Greengrams,180,255,230,25,0,3,12,8,3,46,55,0,0,0,0,60.2,70.3,0,350,11:45:00,12:20:00,14:00:00,We expect more students to report to school tomorrow.,The food was delicious.,"The queues were orderly, especially with the help of the teacher on duty.",The number of actual meals served today was 255 which was higher than the projected number of meals which was 180.,The number of failed taps was 12. The parents had not topped up their account.,Margaret  Maigua.,week1,Monday,-75
Gataka Primary,06-01-25,Rice and Greengrams,100,129,118,11,0,2,4,3,0,26,31,10,0,0,0,66,68,0,200,11:03:00,12:40:00,13:30:00,We anticipate a higher turnout as we expect more kids to report to  school tomorrow.,The food was delicious.,The kids were orderly without the assistance of a teacher.,"The actual number of meals served was 129, exceeding the projected meals which was 100",There were 4 failed taps.,Esther  Wanjiru  Kimani,week1,Monday,-29
Gathaithi Primary,06-01-25,Rice and Greengrams,220,220,257,27,0,3,17,10,6,63,72,0,0,0,0,72.2,74.6,0,330,9:22:00,12:40:00,13:40:00,"We project 330 expecting that more students will report back to school tomorrow, parents will top up and more students will be registered.",food was good.,Teacher on duty assisted with queue management.,The number of failed taps was 17.,The number of actual meals served was 284 higher than projection which was 250.,Jane Wanjiru,week1,Monday,0
Gathangari Primary,06-01-25,Rice and Greengrams,220,220,220,0,0,3,5,5,1,56,67,10,0,0,0,63,59,0,250,11:32:00,12:00:00,13:00:00,We are projecting 250 because we expect the number of kids who will report tomorrow to increase. ,The food was tasty,queue management was good with the help of the teacher on duty.,successful taps were 220 which was equal to the projection.,failed taps were 5. We tried reaching the parents to no avail.,,week1,Monday,0
Gathanji Primary,06-01-25,Rice and Greengrams,160,262,240,22,0,2,32,16,0,40,45,0,0,0,0,56.6,72.1,0,300,12:10:00,13:00:00,14:15:00,"The headteacher has communicated that , tomorrow grade 7 learners have been given a day off to gather documents required to register for JSS. However we expect more children to turn up tomorrow being the second day . And more children will be registered for pp1.",The meal was delicious.,line management  was well conducted by teacher on duty.,The actual meals served today was 262  higher than projection meals 160 . We bought a supplementarry meal for 85 kids .,"Failed taps today was 32 ,  being the 1st day of term majority of parents had not  topped up  their kids account.",Nelson Kageche .,week1,Monday,-102
Gathiruini Primary,06-01-25,Rice and Greengrams,170,184,184,0,0,2,6,0,0,43,53,0,0,0,0,65,64,0,210,12:34:00,13:00:00,13:45:00,we are projecting this number because we are expecting more students will be present tomorrow,The food was delicious.,The queue was well organized with the help of the teachers on duty.,Actual meals served today is  184 compared to 170 projected meals,failed tap's today were 6 parents didn't not top up their accounts on time,Catherine wairimu,week1,Monday,-14
Gathugu Primary,06-01-25,Rice and Greengrams,150,130,130,0,0,2,10,2,0,38,46,0,0,5,6,64,63,0,200,11:45:00,12:30:00,13:30:00,Projecting 200 because the head teacher has said that more pupils will report tomorrow.,food was hot,line was orderly,successful taps were 130 a decrease comparing to the projection which was 150 most pupils didnÃ¢ÂÂt report.,Failed taps were 10,Ann,week1,Monday,20
Gatina Primary,06-01-25,Rice and Greengrams,160,225,214,11,0,3,13,13,0,41,49,10,0,0,0,65,73,0,250,11:20:00,12:50:00,13:40:00,"Being the 2nd day in school, we expect the turnout to be higher than today.",food was delicious,Teacher on duty helped with Queue management.,The number of Actual meal served is 225 compared to the projected food 160,The number of failed taps is 11.,DENNÃÂ°S KANG'ETHE,week1,Monday,-65
Gatitu Primary,06-01-25,Rice and Greengrams,235,259,242,17,0,3,8,17,4,60,71,10,0,0,0,68,70,0,300,9:50:00,12:30:00,14:02:00,300:we expect ECDE to report tomorrow and more students to report back to school,The food was well cooked and delicious.,*The queues were well arranged,Our actual taps were 259; since some students never reported back to school today,Failed taps were 8;due to insufficient balances,,week1,Monday,-24
Giathieko Primary,06-01-25,Rice and Greengrams,95,97,97,0,0,2,4,2,0,24,29,0,15,0,0,68,75,0,150,11:47:00,12:40:00,13:00:00,We are projecting 150 because ECDE kids will be reporting back tomorrow and we are expecting more students will be available tomorrow.,The food was delicious.,The queue was transitioning well from class to class.,Tapped successful 97 compared to 95 projected meals.,We had 4 failed taps. There were parents who forgot to top up their accounts.,George Gichungwa,week1,Monday,-2
